Analyse fonctionnelle des emplois,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Emplois dans les fonctions et emplois des cadres des fonctions métropolitaines dans les communes en 2011,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Recensement de la population 2011 exploitation complémentaire au lieu de travail, recensement de la population 2012 - exploitation exhaustive (Mayotte)",,,,,,,,,,,,,,,,,,,,,,,,,
Champ : France (y compris les DOM),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Emploi des cadres des fonctions métropolitaines,,,,,
Commune,,Code,,,Emploi dans la fonction :,,,,,,,,,,,,,,,Fonction,,,,,
Code,Libellé,Région,Département,Emploi total,Administration publique,Agriculture,Bâtiment-Travaux Publics,Commerce inter-entreprises,"Conception, Recherche","Culture, Loisirs",Distribution,"Education, Formation","Entretien, Réparation",Fabrication,Gestion,"Transports, Logistique",Prestations Intellectuelles,"Santé, Action Sociale",Services de Proximité,"Commerce 
inter-entreprises","Conception, Recherche","Culture, Loisirs",Gestion,Prestations Intellectuelles,Total
CODGEO,LIBGEO,REG,DEP,ELT11,ADMPUB11,AGRICU11,BTP11,COMINT11,CONREC11,CULLOI11,DISTRI11,EDUFOR11,ENTREP11,FABRIC11,GESTIO11,LOGIST11,PREINT11,SANSOC11,SERPRO11,COMINT_CAD11,CONREC_CAD11,CULLOI_CAD11,GESTIO_CAD11,PREINT_CAD11,CFM11
01142,Dagneux,84,01,"2,019",119,4,117,118,83,8,70,100,178,430,232,217,27,32,283,37,62,4,68,11,183
01143,Divonne-les-Bains,84,01,"1,989",132,27,105,49,33,120,221,108,136,49,224,104,47,128,505,15,24,24,82,39,184
01145,Dompierre-sur-Veyle,84,01,197,0,19,28,0,0,4,8,16,20,12,12,16,8,0,53,0,0,0,0,8,8
01146,Dompierre-sur-Chalaronne,84,01,52,0,4,8,0,0,0,8,0,0,12,8,0,4,0,8,0,0,0,0,4,4
01147,Domsure,84,01,72,8,32,0,4,0,0,0,8,4,0,0,0,0,4,12,0,0,0,0,0,0
01148,Dortan,84,01,313,18,3,22,27,3,4,17,16,24,93,31,11,8,12,26,8,0,4,4,0,17
01149,Douvres,84,01,94,12,0,8,4,0,0,8,4,12,4,8,9,4,0,20,4,0,0,0,0,4
01150,Drom,84,01,44,0,12,0,0,0,4,8,0,8,7,4,0,0,0,0,0,0,4,0,0,4
01151,Druillat,84,01,136,4,24,12,4,0,4,4,12,10,12,0,0,0,0,48,4,0,4,0,0,8
01152,Échallon,84,01,78,0,4,12,4,4,0,4,1,4,12,8,4,4,8,8,0,0,0,0,0,0
01153,Échenevex,84,01,164,4,14,4,0,8,16,4,11,27,11,7,11,12,4,31,0,8,9,0,11,28
01155,Évosges,84,01,12,0,0,4,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,4
01156,Faramans,84,01,100,0,58,7,0,0,0,4,0,0,0,7,16,0,0,8,0,0,0,4,0,4
01157,Fareins,84,01,337,8,16,49,30,4,9,4,12,29,57,44,9,9,20,37,5,4,5,16,0,30
01158,Farges,84,01,58,0,0,8,0,0,0,4,4,12,0,0,4,0,0,25,0,0,0,0,0,0
01159,Feillens,84,01,"1,546",32,57,83,53,18,8,91,64,120,399,143,282,29,43,124,12,14,0,31,22,79
01160,Ferney-Voltaire,84,01,"3,377",242,17,124,105,94,55,498,283,192,102,530,181,112,315,527,20,87,18,105,48,278
01162,Flaxieu,84,01,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01163,Foissiat,84,01,322,0,106,40,4,4,0,0,0,32,28,29,13,4,20,41,0,0,0,8,0,8
01165,Francheleins,84,01,152,8,17,20,12,4,20,8,8,4,8,4,4,12,4,16,0,4,0,4,8,17
01166,Frans,84,01,310,16,4,47,16,0,0,22,17,40,54,48,10,20,0,16,0,0,0,4,8,12
01167,Garnerans,84,01,72,0,0,12,4,0,4,0,16,8,4,0,0,4,0,20,0,0,0,0,4,4
01169,Genouilleux,84,01,46,8,4,9,0,0,4,0,0,4,4,0,0,4,0,8,0,0,0,0,4,4
01170,Béard-Géovreissiat,84,01,92,0,4,11,4,0,0,0,0,4,31,7,16,0,0,15,0,0,0,7,0,7
01171,Géovreisset,84,01,191,4,0,37,0,0,4,0,3,19,74,12,11,4,12,12,0,0,4,8,3,15
01173,Gex,84,01,"2,596",308,28,311,46,25,57,213,259,250,60,253,134,69,249,333,4,25,25,45,49,148
01174,Giron,84,01,28,0,0,0,0,0,4,0,4,0,0,0,4,0,4,11,0,0,0,0,0,0
01175,Gorrevod,84,01,177,16,16,0,8,0,4,12,4,27,16,12,45,0,0,16,0,0,0,0,0,0
01177,Grand-Corent,84,01,17,0,0,0,0,0,0,4,0,0,4,0,0,0,0,8,0,0,0,0,0,0
01179,Grièges,84,01,453,8,20,16,8,11,8,12,16,32,150,38,49,17,20,47,0,7,4,4,0,15
01180,Grilly,84,01,116,8,12,8,0,0,4,0,0,20,8,16,4,0,0,35,0,0,0,4,0,4
01181,Groissiat,84,01,692,15,4,32,51,32,4,17,19,16,302,80,62,11,7,42,10,16,0,19,0,46
01183,Guéreins,84,01,498,12,16,56,66,8,4,29,4,33,105,21,71,4,13,56,14,0,4,5,0,23
01184,Hautecourt-Romanèche,84,01,65,0,4,12,4,0,0,0,4,8,8,4,8,4,0,8,0,0,0,0,0,0
01185,Plateau d'Hauteville,84,01,"2,421",180,56,137,19,4,27,104,79,310,123,170,93,42,873,203,0,4,4,37,13,58
01187,Haut Valromey,84,01,276,0,56,20,4,0,8,33,12,14,67,16,20,4,5,16,0,0,0,0,0,0
01188,Illiat,84,01,94,4,35,12,8,0,0,0,0,12,8,11,0,0,0,4,4,0,0,4,0,8
01189,Injoux-Génissiat,84,01,119,12,0,15,0,4,0,0,4,16,34,4,4,12,0,13,0,4,0,0,0,4
01190,Innimond,84,01,16,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
01191,Izenave,84,01,42,0,8,16,0,0,0,0,0,0,4,4,9,0,0,1,0,0,0,0,0,0
01192,Izernore,84,01,"1,674",24,16,97,29,99,12,56,13,86,786,176,132,38,25,86,12,70,4,45,11,143
01193,Izieu,84,01,10,0,0,0,0,0,4,0,0,0,0,1,0,1,0,4,0,0,4,1,0,5
01194,Jassans-Riottier,84,01,"1,603",75,17,136,84,21,25,118,117,89,229,136,131,15,198,213,24,16,9,27,10,86
01195,Jasseron,84,01,408,4,19,85,0,0,0,43,5,49,12,33,21,3,62,73,0,0,0,16,0,16
01196,Jayat,84,01,288,4,12,12,4,4,8,60,15,4,55,32,35,0,12,31,0,0,4,4,0,8
01197,Journans,84,01,50,0,19,8,4,0,4,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0
