Revenus fiscaux localisés des ménages - Année 2009,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2 000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,
Zones d'emploi 2010,,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFiP Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,
,,,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),Écart interquartile (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport interdécile,Ecart-type (€),Moyenne (€),Indice de Gini
ZE2010,REG,LIBGEO,NBUC09,RFUCQ109,RFUCQ209,RFUCQ309,RFUCIQ09,RFUCD109,RFUCD209,RFUCD309,RFUCD409,RFUCD609,RFUCD709,RFUCD809,RFUCD909,RFUCRD09,RFUCET09,RFUCMO09,RFUCGI09
4203,42,Saverne,51010.6,13220,18647,25038,11818,8706,11985,14430,16530,20924,23548,26974,32998,3.8,14482.97,20688.69,0.3001
4204,42,Sélestat,55187.2,13493,19327,25872,12380,8779,12186,14759,17045,21576,24205,27764,33931,3.9,17617.35,21300.22,0.3052
4205,42,Strasbourg,363085.1,11929,19281,27813,15884,5879,10103,13586,16499,22219,25670,30398,39111,6.7,22881.80,22458.47,0.3804
4206,42,Wissembourg,27198.5,14265,20056,27717,13452,9551,12922,15465,17794,22663,25819,29992,36758,3.8,15047.57,22473.98,0.3014
4207,42,Colmar,128535.8,13707,19791,27050,13343,8327,12271,15029,17443,22252,25193,29307,36969,4.4,18729.78,22452.73,0.3277
4208,42,Mulhouse,281895.4,12241,18751,26292,14051,6652,10591,13696,16259,21390,24423,28562,35843,5.4,17223.85,21084.19,0.3442
4209,42,Saint-Louis,77979.7,15715,23716,33945,18230,9585,14010,17341,20477,27199,31404,37206,47307,4.9,23883.48,27254.86,0.3385
4301,43,Besançon,195133.9,12495,18303,25212,12717,7206,11040,13745,16082,20710,23509,27336,34211,4.7,16082.06,20544.14,0.3308
4302,43,Belfort - Montbéliard - Héricourt,249837.7,11583,17566,24271,12688,6544,10104,12894,15274,19897,22614,26245,32431,5.0,16067.03,19419.94,0.3324
4303,43,Morteau,30426.0,15416,22081,31035,15619,10477,13959,16660,19322,25188,28817,33477,41129,3.9,15881.05,24648.08,0.2961
4304,43,Pontarlier,40283.2,13814,19990,27953,14139,9099,12464,15084,17463,22686,26000,30206,37382,4.1,15644.13,22393.06,0.3059
4305,43,Dole,47469.6,12131,17607,23723,11592,7353,10779,13359,15588,19767,22210,25562,31443,4.3,14018.83,19368.03,0.3145
4306,43,Lons-le-Saunier,80727.9,12041,17311,23661,11620,7613,10846,13163,15311,19519,22101,25504,31833,4.2,17088.12,19533.43,0.3212
4307,43,Saint-Claude,37090.1,12718,18675,25869,13151,7804,11303,14064,16391,21136,24178,28022,34897,4.5,14425.52,20865.80,0.3170
4308,43,Gray,19042.1,10982,16237,22309,11327,6559,9750,12208,14242,18242,20798,24171,29878,4.6,14884.46,18165.19,0.3302
4309,43,Vesoul,80612.5,11222,16545,22570,11348,6738,9969,12353,14467,18645,21047,24350,30193,4.5,20181.66,18385.91,0.3255
5201,52,Ancenis,30434.7,12192,16742,22003,9811,8323,11165,13166,15029,18588,20740,23570,28327,3.4,41413.16,18776.14,0.3005
5202,52,Châteaubriant,24217.7,10778,15308,20421,9643,6428,9690,11765,13625,17082,19174,22024,27373,4.3,13347.88,16948.38,0.3181
5203,52,Nantes,654638.9,13531,19092,25997,12466,8535,12170,14742,16938,21417,24237,28211,35505,4.2,19876.46,21731.88,0.3216
5204,52,Saint-Nazaire,197604.4,13011,18255,24711,11700,8494,11754,14131,16207,20434,23038,26784,33696,4.0,20461.69,20782.38,0.3173
5205,52,Angers,292887.0,12524,17797,24264,11740,7557,11172,13681,15773,19992,22623,26358,33210,4.4,18123.75,20157.05,0.3269
5206,52,Cholet,124516.6,12667,17052,22326,9659,8431,11589,13635,15370,18860,20997,23959,29528,3.5,16124.14,19132.32,0.2970
5207,52,Saumur,66248.1,11227,16025,21832,10605,6833,10033,12312,14214,17957,20324,23593,29531,4.3,13600.43,17985.18,0.3225
5208,52,Segré,34655.2,11431,15691,20577,9146,7327,10333,12331,14036,17374,19372,22073,26680,3.6,13554.19,17152.95,0.2970
5209,52,Laval,146257.8,12259,17113,22855,10596,7691,11078,13266,15254,19101,21434,24652,30585,4.0,18460.03,19156.91,0.3132
5210,52,Mayenne,35810.3,11989,16685,22070,10081,7311,10782,13007,14869,18535,20728,23770,28984,4.0,15683.36,18372.41,0.3099
