Revenus fiscaux localisés des ménages - Année 2006,,,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,,,
"© Insee     Source : Insee-DGI, Revenus fiscaux localisés des ménages",,,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,,,
,,,"Nb de ménages
au RP 1999",PSDC99,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),"Intervalle
inter-quartiles (€)",1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),"Rapport
inter-déciles",Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,MEN99,PSDC99,NBUC06,RFUCQ106,RFUCQ206,RFUCQ306,RFUCIQ06,RFUCD106,RFUCD206,RFUCD306,RFUCD406,RFUCD606,RFUCD706,RFUCD806,RFUCD906,RFUCRD06,RFUCET06,RFUCMO06,RFUCGI06
4112,41,Briey,29580,74350,49891.3,10794,15311,21139,10345,6327,9667,11787,13466,17389,19719,22733,27809,4.4,12459.90,16891.46,0.3161
4113,41,Thionville,119326,314934,207327.1,10696,15934,22496,11801,5589,9382,11865,13887,18215,20899,24469,30741,5.5,14412.24,17881.85,0.3451
4121,41,Lunéville,29892,76782,50605.5,10566,15385,20861,10295,6319,9389,11620,13560,17307,19553,22480,27591,4.4,13318.36,16974.23,0.3190
4122,41,Nancy,173605,415106,260651.3,11735,17645,24681,12946,6406,10239,13006,15343,20061,22905,26901,34259,5.3,19028.53,20172.40,0.3514
4123,41,Toul,23403,64841,42008.7,11458,16587,22544,11086,7312,10238,12524,14574,18681,21151,24308,30042,4.1,13042.08,18335.61,0.3099
4130,41,Metz,107584,272051,172860.6,11402,17658,25151,13749,6140,9933,12756,15225,20217,23288,27512,35051,5.7,19593.39,20519.43,0.3652
4141,41,Bassin houiller,98534,265797,170701.2,10365,15281,21333,10968,6033,9130,11500,13442,17383,19828,23069,28766,4.8,13587.47,17183.16,0.3289
4142,41,Sarreguemines,32075,84847,55042.5,11738,16609,22851,11113,7553,10600,12753,14683,18788,21277,24731,30756,4.1,17488.10,18977.22,0.3209
4150,41,Sarrebourg,32339,85818,55110.4,11405,16034,21480,10075,7637,10347,12413,14202,17981,20164,23109,28210,3.7,15493.99,17861.51,0.3014
4160,41,Meuse du nord,33257,83953,54686.8,10180,14941,20739,10559,5921,9038,11249,13077,16953,19251,22425,27825,4.7,13575.93,16738.03,0.3323
4171,41,Bar-le-Duc,25896,64400,41584.6,11182,16264,22117,10936,7009,9943,12313,14354,18356,20711,23861,29470,4.2,12846.21,18052.39,0.3147
4172,41,Commercy,17007,43845,28984.7,10187,14887,20342,10155,6329,9060,11198,13002,16775,19033,21866,26784,4.2,11677.41,16436.52,0.3174
4180,41,Vosges de l'ouest,24588,61656,40065.2,11085,15890,21916,10831,7146,9995,12145,14024,17869,20405,23667,29200,4.1,14490.13,17847.10,0.3143
4191,41,Epinal,62069,156241,101469.5,10565,15576,21358,10793,6265,9351,11690,13653,17572,19918,23134,28916,4.6,14694.43,17542.88,0.3328
