Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2013,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 25/04/2019      Découpage géographique au 01/01/2014,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nombre de ménages fiscaux,Nombre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés,1er quartile,Médiane,3e quartile,Ecart interquartile,1er décile,2e décile,3e décile ,4e décile ,6e décile,7e décile,8e décile ,9e décile,Rapport interdécile D9/D1,S80/S20,Indice de Gini,Part des salaires et traitements hors chômage,Part des indemnités chômage,Part des revenus d'activités non salariées,"Part des pensions, retraites et rentes",Part des autres revenus
CODGEO,LIBGEO,NBMEN13,NBPERS13,NBUC13,PMIMP13,Q113,Q213,Q313,Q3_Q1,D113,D213,D313,D413,D613,D713,D813,D913,RD,S80S2013,GI13,PTSA13,PCHO13,PBEN13,PPEN13,PAUT13
2210,Amiens,155498,368120.5,248493.9,55.1,12320.0,19078.0,26640.0,14320.0,6268.0,10580.0,13844.0,16550.0,21718.0,24760.0,28930.0,36528.0,5.8,7.9,0.4,58.8,3.1,7.0,26.4,4.7
2211,Péronne,23285,56451.0,37852.5,49.8,11398.0,17462.0,24046.0,12648.0,6054.0,9802.0,12758.0,15224.0,19792.0,22450.0,26118.0,32844.0,5.4,7.5,0.3,53.4,4.0,8.4,29.1,5.1
2301,Bernay,25094,57753.0,39485.1,55.5,13040.0,19072.0,25874.0,12834.0,7436.0,11488.0,14428.0,16880.0,21458.0,24160.0,27854.0,34792.0,4.7,6.2,0.3,53.2,3.5,6.2,32.0,5.1
2302,Évreux,88900,216402.0,144418.4,59.6,13746.0,20184.0,27390.0,13644.0,7654.0,12100.0,15198.0,17758.0,22680.0,25612.0,29564.0,36694.0,4.8,6.3,0.3,60.4,3.4,5.2,26.6,4.4
2303,Pont-Audemer,22019,52551.0,35323.4,54.0,13116.0,19008.0,26122.0,13006.0,7932.0,11690.0,14388.0,16724.0,21450.0,24306.0,28140.0,35042.0,4.4,5.9,0.3,57.9,3.6,5.8,27.6,5.1
2304,Vernon - Gisors,49003,122926.0,81249.4,61.1,13874.0,20328.0,27836.0,13962.0,7954.0,12252.0,15336.0,17896.0,22858.0,25902.0,30132.0,37838.0,4.8,6.2,0.3,61.5,3.6,4.9,25.6,4.4
2305,Dieppe - Caux maritime,52555,122378.5,83354.2,53.2,12848.0,18668.0,25546.0,12698.0,7354.0,11324.0,14160.0,16454.0,21022.0,23832.0,27650.0,34816.0,4.7,6.3,0.3,55.7,3.0,6.2,30.6,4.5
2306,Le Havre,167551,394455.0,266628.5,57.0,12816.0,19482.0,27112.0,14296.0,6786.0,11110.0,14310.0,16974.0,22114.0,25246.0,29391.0,36604.0,5.4,7.2,0.3,60.3,3.5,4.4,27.9,3.9
2307,Rouen,340368,796555.0,539638.9,58.2,13340.0,20068.0,27636.0,14296.0,7114.0,11620.0,14864.0,17554.0,22664.0,25760.0,29910.0,37460.0,5.3,7.0,0.3,61.0,3.3,4.9,26.8,4.0
2401,Bourges,86911,191995.0,133334.1,57.5,13712.0,19874.0,27078.0,13366.0,7656.0,12108.0,15128.0,17578.0,22354.0,25260.0,29257.0,36264.0,4.7,6.3,0.3,55.9,2.6,5.8,31.4,4.3
