Revenus fiscaux localisés des ménages - Année 2008,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2 000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFiP Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,
,,,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),Intervalle interquartile (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport interdécile,Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,NBUC08,RFUCQ108,RFUCQ208,RFUCQ308,RFUCIQ08,RFUCD108,RFUCD208,RFUCD308,RFUCD408,RFUCD608,RFUCD708,RFUCD808,RFUCD908,RFUCRD08,RFUCET08,RFUCMO08,RFUCGI08
2662,26,Decize,23215.5,10800,15683,21317,10517,6382,9629,11803,13751,17705,19947,22893,28082,4.4,13319.70,17221.30,0.3207
2664,26,Le Creusot,34126.5,11486,16626,22751,11265,6814,10175,12579,14667,18771,21239,24643,30529,4.5,14149.61,18503.12,0.3209
2666,26,Beaune,64721.2,12700,18156,24872,12172,8247,11438,13823,16027,20479,23175,27035,34781,4.2,19324.19,21440.97,0.3411
2672,26,Montceau-les-Mines,37740.1,11434,16165,21748,10314,6876,10249,12530,14369,18044,20313,23422,28831,4.2,13852.34,17898.37,0.3144
2680,26,Digoin,59109.1,11679,16213,21910,10231,7483,10551,12669,14416,18149,20444,23607,29386,3.9,14096.92,18280.22,0.3117
2695,26,Louhans,36848.7,11367,16172,21798,10431,7595,10215,12365,14324,18106,20454,23427,28456,3.7,11892.35,17788.64,0.3007
3110,31,Roubaix-Tourcoing,271017.8,9238,15755,22820,13582,4080,7770,10670,13313,18216,21096,25008,32352,7.9,19313.52,18406.59,0.3989
3111,31,Lille,500238.1,11311,18137,26367,15056,5720,9632,12837,15551,20958,24325,28935,37410,6.5,21604.35,21369.69,0.3825
3112,31,Dunkerque,168414.5,10509,16157,22845,12336,6106,9202,11698,13937,18529,21266,24813,31094,5.1,15770.66,18356.23,0.3463
3113,31,Flandre-Lys,79165.6,12098,17329,23715,11617,7767,10871,13206,15346,19512,22113,25590,31758,4.1,16887.32,19652.81,0.3190
3114,31,Douaisis,160864.4,9850,15429,22233,12383,5168,8498,11053,13267,17835,20566,24199,30539,5.9,16521.57,17674.42,0.3623
3115,31,Valenciennois,227282.7,8817,14551,21216,12399,4176,7551,10009,12323,16903,19606,23136,29167,7.0,17029.96,16686.71,0.3784
3116,31,Cambresis,118195.7,10152,15611,21903,11751,5731,8891,11370,13540,17734,20368,23823,30063,5.2,15940.27,17874.61,0.3561
3117,31,Sambre-Avesnois,154304.9,8715,14449,21216,12501,3694,7389,9933,12254,16842,19562,23234,29328,7.9,14785.85,16493.19,0.3812
3121,31,Artois-Ternois,156525.7,11403,17176,24094,12691,6774,10049,12604,14898,19587,22394,26137,33224,4.9,17628.56,19785.82,0.3487
3122,31,Lens-Hénin,239328.5,8247,13660,19578,11331,3877,7093,9355,11543,15741,18157,21290,26456,6.8,12893.74,15189.73,0.3652
3123,31,Béthune-Bruay,191816.0,10063,15455,21836,11773,5561,8803,11252,13365,17675,20287,23698,29657,5.3,14965.92,17502.37,0.3505
3124,31,Saint-Omer,75968.2,10022,15298,21340,11318,5889,8889,11139,13246,17427,19852,23120,28918,4.9,16099.09,17403.91,0.3493
3125,31,Calaisis,107007.0,9490,15105,21580,12090,4791,8203,10710,12915,17363,20005,23426,29240,6.1,14405.34,16980.54,0.3609
3126,31,Boulonnais,107657.6,9526,15128,21762,12236,5035,8196,10749,12952,17441,20121,23701,30370,6.0,18450.81,17619.82,0.3760
3127,31,Berck-Montreuil,70708.5,10517,15842,22508,11991,6160,9269,11651,13753,18092,20900,24599,31705,5.1,18172.69,18774.54,0.3668
4111,41,Longwy,56059.2,11236,16874,24174,12938,5880,9830,12425,14640,19367,22367,26263,33147,5.6,14173.17,18965.54,0.3437
4112,41,Briey,51917.4,11779,16714,23084,11305,7086,10533,12783,14672,18932,21546,24891,30422,4.3,12980.50,18460.44,0.3129
4113,41,Thionville,215913.7,11954,17566,24761,12807,7048,10618,13120,15301,20074,23009,26888,33767,4.8,16008.77,19933.76,0.3348
4121,41,Lunéville,52800.6,11331,16573,22362,11031,6658,9950,12527,14624,18604,20988,24104,29812,4.5,13980.66,18193.82,0.3206
4122,41,Nancy,269117.9,12593,18893,26401,13808,6816,10998,13981,16475,21477,24520,28773,36616,5.4,21340.23,21693.55,0.3540
4123,41,Toul,43429.7,12382,17997,24349,11967,7942,11124,13618,15825,20268,22787,26215,32407,4.1,16483.82,19905.94,0.3100
