Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus disponibles par unité de consommation et composition du revenu disponible - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 23/01/2020       Géographie au 01/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nbre de ménages fiscaux,Nbre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,1er quartile (€),Médiane (€),3e quartile (€),Écart interquartile (€),1er décile (€),2e décile (€),3e décile (€),4e décile (€),6e décile (€),7e décile (€),8e décile (€),9e décile (€),Rapport interdécile 9e décile/1er decile,S80/20,Indice de Gini,Part des revenus d’activité (%),dont part des salaires et traitements(%),dont part des indemnités de chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des revenus du patrimoine et autres revenus (%),Part de l'ensemble des prestations sociales (%),dont part des prestations familiales (%),dont part des minima sociaux (%),dont part des prestations logement (%),Part des impôts (%)
CODGEO,LIBGEO,NBMEN17,NBPERS17,NBUC17,Q117,Q217,Q317,Q3_Q1,D117,D217,D317,D417,D617,D717,D817,D917,RD,S80S2017,GI17,PACT17,PTSA17,PCHO17,PBEN17,PPEN17,PPAT17,PPSOC17,PPFAM17,PPMINI17,PPLOGT17,PIMPOT17
2401,Bourges,87333,189471,132529.2,15670,20770,26690,11020,11550,14460,16780,18830,22790,25220,28480,34370,3.0,3.569,0.248,67.3,59.9,2.7,4.7,33.9,8.3,5.8,2.0,2.3,1.4,-15.3
2402,Saint-Amand-Montrond,16726,33945,24509.2,14040,18660,23870,9830,10280,12940,15050,16870,20400,22590,25450,30640,3.0,3.611,0.249,54.3,45.6,2.9,5.8,43.4,8.4,6.8,1.9,3.3,1.6,-12.9
2403,Vierzon,20734,44723,31365.1,14290,19190,24440,10150,10450,13120,15350,17320,20980,23190,25990,30990,3.0,3.584,0.248,60.1,53.0,3.2,3.9,38.2,8.0,7.4,2.4,3.2,1.8,-13.7
2404,Chartres,105184,247131,167385.1,16840,22040,28090,11250,12530,15570,17990,20060,24140,26560,29960,35980,2.9,3.461,0.242,74.2,66.6,2.9,4.6,29.0,8.2,4.6,2.3,1.3,1.0,-16.0
2405,Châteaudun,15836,35041,24323.2,15030,19830,25140,10100,11050,13940,16130,18090,21750,23870,26780,32120,2.9,3.461,0.241,61.0,52.7,2.9,5.4,38.1,9.3,5.6,2.5,1.9,1.3,-14.0
2406,Dreux,44907,115036,75419.0,15080,20660,26850,11770,10900,13830,16270,18590,22840,25340,28710,34420,3.2,3.807,0.259,73.2,65.4,3.5,4.3,28.5,7.2,6.4,3.1,2.0,1.4,-15.3
2407,Le Blanc,10041,20320,14698.9,14540,18790,23910,9370,10960,13600,15450,17140,20650,22670,25460,30690,2.8,3.441,0.241,55.0,46.5,2.3,6.2,43.4,8.8,5.6,1.8,2.5,1.3,-12.8
2408,Issoudun,9064,19000,13514.4,15550,20080,25410,9850,11610,14420,16560,18390,21990,23970,27120,32140,2.8,3.373,0.238,65.8,58.3,2.9,4.5,34.3,8.9,5.6,1.9,2.4,1.4,-14.6
2409,Châteauroux,78614,164178,116814.6,15030,19680,25020,9990,11310,13970,16020,17900,21500,23730,26660,31930,2.8,3.438,0.242,61.9,53.8,2.9,5.2,37.6,8.6,5.9,2.0,2.4,1.5,-14.0
2410,Chinon,15663,34413,24056.8,15820,20800,27200,11380,11970,14690,16880,18860,22930,25580,29160,35590,3.0,3.556,0.249,65.2,55.7,2.9,6.7,36.8,8.3,4.8,1.8,1.9,1.1,-15.1
2411,Loches,10712,22579,16038.5,15250,19600,24920,9670,11660,14230,16170,17870,21410,23560,26610,32520,2.8,3.389,0.240,59.2,50.6,3.0,5.6,38.7,10.2,5.5,1.9,2.2,1.4,-13.6
