Revenus fiscaux des ménages - Année 2002,,,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,,,
"© Insee     Source : Insee-DGI, Revenus fiscaux des ménages",,,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,,,
,,,"Nb de ménages
au RP 1999",PSDC99,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),"Intervalle
inter-quartiles (€)",1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),"Rapport
inter-déciles",Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,MEN99,PSDC99,NBUC02,RFUCQ102,RFUCQ202,RFUCQ302,RFUCIQ02,RFUCD102,RFUCD202,RFUCD302,RFUCD402,RFUCD602,RFUCD702,RFUCD802,RFUCD902,RFUCRD02,RFUCET02,RFUCMO02,RFUCGI02
3112,31,Dunkerque,95298,263018,164229.8,8333,13027,18766,10433,4935,7298,9297,11171,15040,17376,20407,25498,5.2,11524.67,14833.17,0.3461
3113,31,Flandre-Lys,41187,116684,73702.2,9719,14066,19502,9783,6251,8727,10637,12371,15939,18175,21087,26300,4.2,12189.71,15982.29,0.3174
3114,31,Douaisis,89335,246987,154028.4,8052,12718,18521,10469,4394,6963,9064,10922,14706,17097,20235,25561,5.8,11685.07,14574.80,0.3574
3115,31,Valenciennois,129722,348994,216587.7,7194,11798,17433,10239,3628,6165,8171,10011,13737,16055,19101,24380,6.7,11824.92,13667.04,0.3757
3116,31,Cambresis,67530,176360,112548.8,8411,12863,18329,9918,4862,7361,9363,11140,14691,16935,19978,25164,5.2,12315.94,14822.85,0.3523
3117,31,Sambre-Avesnois,88672,238466,148625.7,6853,11555,17256,10403,3172,5834,7832,9729,13558,15828,18975,24184,7.6,10995.27,13322.09,0.3819
3121,31,Artois-Ternois,86840,231265,147242.5,9171,13932,19966,10795,5592,8104,10178,12025,16020,18503,21753,27652,4.9,14043.21,16167.34,0.3474
3122,31,Lens-Hénin,135963,371443,230200.5,6832,11372,16236,9404,3403,5883,7765,9585,13055,15037,17701,22168,6.5,10327.89,12609.94,0.3608
3123,31,Béthune-Bruay,107282,287064,181221.8,8285,12643,18012,9727,4890,7304,9221,10989,14480,16678,19551,24644,5.0,11650.34,14404.68,0.3446
3124,31,Saint-Omer,40509,112845,71284.3,8407,12633,17938,9531,5180,7482,9270,10977,14560,16667,19488,24569,4.7,13563.11,14649.65,0.3466
3125,31,Calaisis,57909,158989,100361.6,7907,12477,18053,10146,4328,6888,8862,10678,14439,16682,19643,24593,5.7,11347.54,14185.02,0.3566
3126,31,Boulonnais,60959,163159,103281.3,7752,12374,18122,10370,4205,6757,8696,10509,14301,16667,19785,25342,6.0,12806.10,14398.85,0.3712
3127,31,Berck-Montreuil,38329,99288,65870.8,8547,13036,18793,10246,5160,7530,9479,11232,15072,17397,20575,26541,5.1,14270.14,15396.72,0.3602
4111,41,Longwy,33473,82700,54617.9,7381,12666,18444,11063,0,5811,8705,10863,14677,16994,20096,25323,,11321.73,13787.55,0.3931
4112,41,Briey,29580,74350,49113.6,9867,13700,18848,8981,6555,8988,10676,12152,15527,17638,20332,25023,3.8,10812.79,15333.64,0.3014
4113,41,Thionville,119326,314934,201855.5,9112,13785,19425,10313,3963,7860,10170,11988,15726,18043,21045,26318,6.6,12041.09,15218.33,0.3518
4121,41,Lunéville,29892,76782,49629.9,9308,13496,18531,9224,5722,8291,10225,11907,15230,17313,19985,24730,4.3,10921.32,15006.60,0.3172
4122,41,Nancy,173605,415106,258322.6,10497,15875,22243,11746,5869,9149,11669,13811,18062,20673,24203,30532,5.2,13905.46,17896.25,0.3405
4123,41,Toul,23403,64841,41394.4,10031,14663,20208,10177,6544,8977,10971,12807,16612,18836,21652,26804,4.1,10760.74,16181.16,0.3056
4130,41,Metz,107584,272051,172371.4,10255,15813,22516,12261,5665,8915,11419,13590,18146,20851,24542,31293,5.5,15737.03,18168.75,0.3552
4141,41,Bassin houiller,98534,265797,169228.0,9618,13936,19352,9734,5901,8553,10601,12323,15840,18055,20924,25858,4.4,11554.66,15661.96,0.3169
4142,41,Sarreguemines,32075,84847,54403.1,10848,15086,20723,9875,7191,9869,11717,13385,17105,19325,22371,27554,3.8,12057.84,17054.36,0.3047
4150,41,Sarrebourg,32339,85818,54458.3,10189,14333,19197,9008,6831,9220,11025,12662,16068,18026,20582,25199,3.7,21633.33,15957.03,0.3007
4160,41,Meuse du nord,33257,83953,53680.4,8924,13118,18338,9414,5246,7908,9815,11496,14925,17021,19881,24688,4.7,11546.22,14702.51,0.3313
4171,41,Bar-le-Duc,25896,64400,41749.7,9990,14619,19996,10006,6365,8889,11000,12825,16513,18695,21526,26601,4.2,12322.53,16230.44,0.3113
4172,41,Commercy,17007,43845,28569.0,8918,13070,18082,9164,5670,8005,9807,11457,14829,16849,19445,23971,4.2,12436.64,14628.60,0.3195
4180,41,Vosges de l'ouest,24588,61656,39879.2,9857,14257,19689,9832,6380,8846,10767,12485,16103,18333,21287,26498,4.2,17067.73,16080.94,0.3163
4191,41,Epinal,62069,156241,100861.5,9296,13813,19115,9819,5612,8214,10280,12086,15680,17817,20704,26042,4.6,12495.97,15564.41,0.3316
4192,41,Remiremont-Gérardmer,32128,80311,52355.3,10272,14220,18990,8718,6736,9281,11155,12692,15845,17781,20530,25587,3.8,14665.02,15988.75,0.3038
