Revenus fiscaux localisés des ménages - Année 2011,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages fiscaux pour médiane, 2 000 personnes pour autres indicateurs",,,,,,,,,,,,,,,,,,,
Zones d'emploi 2010,,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFiP Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,
,,,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),Écart interquartile (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport interdécile,Ecart-type (€),Moyenne (€),Indice de Gini
ZE2010,REG,LIBGEO,NBUC11,RFUCQ111,RFUCQ211,RFUCQ311,RFUCIQ11,RFUCD111,RFUCD211,RFUCD311,RFUCD411,RFUCD611,RFUCD711,RFUCD811,RFUCD911,RFUCRD11,RFUCET11,RFUCMO11,RFUCGI11
4107,41,Metz,334917.1,12694,19106,26868,14174,7094,11129,14048,16590,21765,24959,29204,36729,5.2,20825.70,21831.20,0.3489
4108,41,Forbach,148007.5,11112,16920,23873,12761,6096,9694,12435,14783,19325,22142,25944,32502,5.3,16196.89,19152.41,0.3462
4109,41,Sarrebourg,48246.8,12987,18321,24628,11641,8354,11687,14105,16270,20484,23063,26407,31951,3.8,17775.64,20300.47,0.3064
4110,41,Sarreguemines,75617.3,13050,18819,25948,12898,7954,11675,14314,16527,21281,24232,28108,34969,4.4,18102.36,21271.92,0.3254
4111,41,Thionville,144195.9,12601,19011,27335,14734,6995,11099,13913,16393,21867,25237,29787,37654,5.4,18356.10,21715.97,0.3478
4112,41,Épinal,110385.1,11883,17693,24272,12389,6453,10356,13234,15558,20013,22638,26207,32755,5.1,18699.30,19792.53,0.3408
4113,41,Remiremont,58449.7,12777,17726,23746,10969,7958,11497,13907,15882,19782,22260,25526,31774,4.0,31043.16,20013.10,0.3154
4114,41,Saint-Dié-des-Vosges,60122.9,11557,17005,23135,11578,6169,10108,12824,14988,19111,21645,24987,30879,5.0,14747.12,18725.14,0.3304
4115,41,Neufchâteau,35855.3,12220,17585,24219,11999,7439,10948,13413,15549,19840,22613,26232,32251,4.3,17030.09,19797.41,0.3224
4201,42,Haguenau,133328.5,15030,20994,28041,13011,9902,13615,16275,18669,23474,26299,30086,36643,3.7,16941.30,23170.64,0.2958
4202,42,Molsheim - Obernai,89440.7,15383,21387,28893,13510,10277,13978,16614,19017,23955,27003,31241,38652,3.8,21919.22,24348.60,0.3084
4203,42,Saverne,52334.9,13997,19719,26494,12497,9361,12716,15263,17517,22129,24809,28433,34881,3.7,15616.08,21890.24,0.2985
4204,42,Sélestat,56330.1,14150,20213,27141,12991,9011,12781,15487,17858,22582,25473,29210,35833,4.0,19189.12,22476.59,0.3111
4205,42,Strasbourg,367967.6,12251,19996,28916,16665,5859,10313,13982,17064,23062,26678,31675,40783,7.0,25603.09,23386.64,0.3863
4206,42,Wissembourg,27395.2,15199,21552,29794,14595,10304,13853,16470,18993,24340,27735,32157,39357,3.8,16280.91,24124.32,0.3014
4207,42,Colmar,130262.6,14298,20670,28394,14096,8562,12715,15676,18220,23318,26467,30813,38985,4.6,25762.57,23693.61,0.3354
4208,42,Mulhouse,284363.8,12777,19754,27988,15211,6817,10986,14333,17080,22562,25881,30554,38907,5.7,20723.36,22578.23,0.3565
4209,42,Saint-Louis,80300.0,17153,26826,40114,22961,10215,15225,19093,22843,31404,36980,44199,57332,5.6,26011.94,31830.38,0.3600
4301,43,Besançon,198726.5,13206,19344,26600,13394,7604,11675,14553,16948,21793,24762,28819,36167,4.8,18481.31,21793.07,0.3341
4302,43,Belfort - Montbéliard - Héricourt,251356.5,12246,18555,25689,13443,6920,10694,13609,16138,21031,23936,27773,34529,5.0,17844.56,20608.18,0.3348
4303,43,Morteau,31542.0,17126,25870,37714,20588,11662,15552,18829,22278,30056,34939,40747,50036,4.3,21340.27,29275.71,0.3110
4304,43,Pontarlier,41816.2,15279,22622,32676,17397,10034,13774,16748,19598,25965,30125,35686,44402,4.4,18467.85,25861.09,0.3193
4305,43,Dole,47751.8,12957,18644,25087,12130,7734,11437,14232,16511,20893,23559,27024,33172,4.3,17313.95,20541.55,0.3152
4306,43,Lons-le-Saunier,81961.4,12889,18339,24892,12003,8273,11614,14090,16255,20597,23291,26889,33576,4.1,19184.43,20729.88,0.3181
4307,43,Saint-Claude,37044.4,13868,20067,28507,14639,8352,12293,15216,17713,22828,26335,31274,39893,4.8,22687.72,23298.11,0.3358
4308,43,Gray,18958.1,11887,17235,23496,11609,7074,10572,13038,15155,19411,22023,25462,31747,4.5,14405.60,19280.05,0.3274
4309,43,Vesoul,80968.1,11853,17418,23723,11870,7101,10465,13061,15304,19612,22169,25567,31418,4.4,14590.63,19227.73,0.3208
5201,52,Ancenis,30990.3,13030,17753,23076,10046,8905,11890,14035,15958,19600,21833,24708,29799,3.3,16427.19,19403.32,0.2811
5202,52,Châteaubriant,24510.8,11492,16347,21527,10035,6819,10298,12618,14519,18136,20277,23089,28474,4.2,20346.91,18168.39,0.3229
5203,52,Nantes,674284.0,14264,20101,27340,13076,8982,12850,15534,17836,22553,25522,29641,37262,4.1,28331.31,23012.75,0.3251
5204,52,Saint-Nazaire,202614.6,13775,19221,25940,12165,8930,12475,14948,17104,21505,24209,28116,35299,4.0,28339.12,21990.35,0.3202
5205,52,Angers,298464.3,13207,18663,25410,12203,7970,11816,14419,16560,20919,23669,27557,34759,4.4,20127.65,21238.16,0.3279
5206,52,Cholet,126915.4,13457,17922,23431,9974,9100,12330,14483,16226,19801,22056,25106,30746,3.4,17852.29,20154.14,0.2928
5207,52,Saumur,66784.4,11900,16904,22914,11014,7218,10633,13015,15042,18953,21382,24830,31120,4.3,15159.85,19042.04,0.3232
5208,52,Segré,34932.6,12333,16731,21901,9568,8155,11190,13312,15073,18523,20579,23377,28100,3.4,15054.34,18314.68,0.2875
5209,52,Laval,147962.0,13081,18048,23929,10848,8445,11880,14147,16166,20088,22493,25759,31933,3.8,19860.98,20282.13,0.3090
