Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2016,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 26/07/2019       Géographie au 01/01/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nbre de ménages fiscaux,Nbre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés (%),1er quartile (€),Médiane (€),3e quartile (€),Écart interquartile (€),1er décile (€),2e décile (€),3e décile  (€),4e décile (€) ,6e décile (€),7e décile (€),8e décile (€) ,9e décile (€),Rapport interdécile D9/D1,S80/S20,Indice de Gini,Part des revenus d’activité (%),dont part des salaires et traitements (%),dont part des indemnités chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des autres revenus (%)
CODGEO,LIBGEO,NBMEN16,NBPERS16,NBUC16,PMIMP16,Q116,Q216,Q316,Q3_Q1,D116,D216,D316,D416,D616,D716,D816,D916,RD,S80S2016,GI16,PACT16,PTSA16,PCHO16,PBEN16,PPEN16,PAUT16
2601,Beaune,21636,48626,33659.6,55.7,15720,22136,30146,14426,9974,14146,17056,19536,24772,28102,32970,43536,4.4,6.097,0.344,64.8,53.6,2.4,8.7,26.8,8.4
2602,Chatillon,8128,17061,12160.0,44.2,13018,18551,24740,11722,7446,11486,14214,16486,20702,23186,26748,33116,4.4,5.909,0.313,55.7,46.5,2.9,6.3,38.5,5.8
2603,Dijon,182339,403506,280000.0,55.7,15152,21876,29766,14614,8806,13396,16668,19338,24578,27786,32230,40358,4.6,6.090,0.326,66.6,58.8,2.6,5.3,28.5,4.9
2604,Montbard,14160,30167,21331.1,47.1,14004,19584,25978,11974,8572,12508,15242,17438,21756,24266,27942,34246,4.0,5.387,0.304,60.4,52.5,2.7,5.2,34.6,5.0
2605,Le Morvan,16206,31448,23148.6,41.8,12444,18080,24854,12410,7006,11010,13754,15870,20467,23278,26816,33220,4.7,6.090,0.316,45.2,35.9,2.5,6.8,48.6,6.2
2606,Nevers,54086,112695,80221.4,47.2,13242,19674,26336,13094,6420,11456,14734,17310,22010,24720,28358,34860,5.4,7.133,0.330,59.3,52.0,2.6,4.8,36.7,4.0
2607,Autun,14862,31327,22272.7,43.0,13256,18752,25312,12056,7880,11802,14504,16732,21034,23724,27258,34282,4.4,5.712,0.313,57.7,48.0,2.9,6.9,37.9,4.4
2608,Chalon-sur-Saône,85660,191918,132712.7,50.0,14270,20370,27404,13134,8440,12690,15644,18072,22822,25632,29604,36870,4.4,5.825,0.317,64.5,56.4,2.9,5.2,31.0,4.5
2609,Louhans,16609,35871,25246.7,44.2,13714,19106,25338,11624,8450,12362,14842,17028,21254,23836,27114,33070,3.9,5.079,0.293,58.6,50.9,2.7,5.0,37.4,4.0
2610,Le Creusot - Montceau,45311,96759,68271.9,44.1,13176,19020,25570,12394,7340,11602,14492,16838,21320,23970,27508,33720,4.6,6.040,0.313,59.2,51.8,3.2,4.2,37.3,3.5
