Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus disponibles par unité de consommation et composition du revenu disponible - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 26/07/2019       Géographie au 01/01/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nbre de ménages fiscaux,Nbre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,1er quartile (€),Médiane (€),3e quartile (€),Écart interquartile (€),1er décile (€),2e décile (€),3e décile (€),4e décile (€),6e décile (€),7e décile (€),8e décile (€),9e décile (€),Rapport interdécile 9e décile/1er decile,S80/20,Indice de Gini,Part des revenus d’activité (%),dont part des salaires et traitements(%),dont part des indemnités chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des revenus du patrimoine et autres revenus (%),Part de l'ensemble des prestations sociales (%),dont part des prestations familiales (%),dont part des minima sociaux (%),dont part des prestations logement (%),Part des impôts (%)
CODGEO,LIBGEO,NBMEN16,NBPERS16,NBUC16,Q116,Q216,Q316,Q3_Q1,D116,D216,D316,D416,D616,D716,D816,D916,RD,S80S2016,GI16,PACT16,PTSA16,PCHO16,PBEN16,PPEN16,PPAT16,PPSOC16,PPFAM16,PPMINI16,PPLOGT16,PIMPOT16
2411,Loches,10719,22572,16045.1,14980,19434,24655,9675,11521,13994,15875,17725,21206,23356,26398,32093,2.8,3.435,0.243,59.8,51.0,3.0,5.7,38.6,10.3,5.4,1.9,2.1,1.4,-14.1
2412,Tours,236649,528825,365297.2,15747,20947,27289,11542,11538,14542,16868,18942,23097,25651,29337,35941,3.1,3.833,0.262,71.5,63.8,3.0,4.7,30.6,9.0,5.3,2.1,1.8,1.4,-16.4
2413,Blois,77383,175574,120745.3,15765,20852,26791,11026,11563,14541,16887,18940,22912,25289,28706,34785,3.0,3.633,0.251,67.9,59.8,3.0,5.1,33.5,9.0,5.2,2.2,1.8,1.3,-15.6
2414,Romorantin-Lanthenay,25892,55653,39232.1,14829,19419,24633,9803,10886,13738,15813,17666,21248,23398,26240,31556,2.9,3.514,0.244,58.5,50.8,3.1,4.6,41.3,8.7,5.5,2.0,2.1,1.4,-14.0
2415,Vendôme,29294,64269,44890.3,15594,20285,25709,10115,11765,14446,16629,18464,22162,24311,27518,33219,2.8,3.491,0.245,65.2,56.8,2.8,5.7,35.5,9.8,4.7,2.0,1.6,1.2,-15.2
2416,Gien,32957,73366,50850.2,15023,20065,25714,10691,10940,13848,16091,18150,22042,24327,27508,33183,3.0,3.644,0.251,64.9,57.2,3.2,4.5,35.7,8.8,5.4,2.2,1.8,1.4,-14.8
2417,Montargis,55017,125531,86049.7,14676,19810,25409,10733,10619,13507,15778,17827,21811,24040,27148,32732,3.1,3.759,0.256,65.0,57.1,3.4,4.4,35.0,9.1,5.9,2.5,1.9,1.5,-15.0
2418,Orléans,203230,478833,323648.2,16122,21621,28200,12078,11771,14835,17314,19522,23849,26508,30235,36712,3.1,3.788,0.259,74.1,67.0,3.0,4.2,28.7,9.0,5.0,2.3,1.4,1.3,-16.8
2419,Pithiviers,21395,52182,34892.1,15587,20317,25757,10171,11668,14450,16651,18542,22259,24463,27332,32621,2.8,3.472,0.244,71.1,62.8,3.5,4.9,28.8,9.6,5.2,2.6,1.5,1.2,-14.7
2501,Bayeux,22772,51335,35478.8,15460,20169,25705,10245,11867,14416,16415,18304,22122,24279,27495,33332,2.8,3.477,0.248,64.2,54.2,3.0,7.0,35.5,9.2,5.4,2.2,1.9,1.3,-14.3
2502,Caen,200474,457412,313584.7,15813,20921,27021,11208,11764,14641,16932,18977,22998,25453,28936,35355,3.0,3.694,0.257,71.3,63.0,3.1,5.2,30.5,8.6,5.4,2.2,1.8,1.5,-15.8
2503,Honfleur,24628,51242,36583.5,15364,20630,28058,12694,11457,14203,16479,18616,23004,25975,30563,39244,3.4,4.516,0.304,61.5,50.8,3.2,7.5,37.4,15.1,4.1,1.5,1.5,1.1,-18.1
