Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2012,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,
Zones d'emplois 2010,,Découpage géographique au 01/01/2013,,,,,Sommaire,,Documentation,,,,,,,,,,,,,,,,
©Insee,"Sources : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,Date de première mise ligne le 02/06/2015,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,nombre de ménages fiscaux,nombre de personnes dans les ménages fiscaux,nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés,1er quartile,médiane,3e quartile,Ecart interquartile,1er décile,2e décile,3e décile ,4e décile ,6e décile,7e décile,8e décile ,9e décille,rapport interdécile D9/D1,S80/S20,indice de Gini,Part des salaires et traitements hors chômage,Part des indemnités chômage,Part des revenus d'activités non salariées,"Part des pensions, retraites et rentes",Part des autres revenus
CODGEO,LIBGEO,NBMEN12,NBPERS12,NBUC12,PMIMP12,Q112,Q212,Q312,Q3_Q1,D112,D212,D312,D412,D612,D712,D812,D912,RD,S80S2012,GI12,PTSA12,PCHO12,PBEN12,PPEN12,PAUT12
2303,Pont-Audemer,21876.0,52222.0,35103.6,60.7,12766.0,18554.0,25548.0,12782.0,7760.0,11352.0,14010.0,16278.0,20932.0,23854.0,27590.0,34766.0,4.5,6.1,0.3,57.8,3.4,6.3,26.1,6.4
2304,Vernon - Gisors,48736.0,122624.5,80979.0,67.3,13644.0,19816.0,27228.0,13584.0,8038.0,12018.0,15008.0,17477.0,22294.0,25338.0,29526.0,36930.0,4.6,6.1,0.3,62.0,3.6,5.0,24.4,5.0
2305,Dieppe - Caux maritime,52435.0,122576.5,83358.0,60.3,12470.0,18206.0,24958.0,12488.0,7310.0,11052.0,13790.0,16044.0,20508.0,23302.0,27056.0,34398.0,4.7,6.3,0.3,56.1,3.2,6.5,29.1,5.1
2306,Le Havre,167533.0,396356.0,267626.1,63.4,12552.0,19002.0,26430.0,13878.0,6742.0,10926.0,13974.0,16550.0,21562.0,24560.0,28642.0,35776.0,5.3,7.1,0.3,61.0,3.4,4.5,26.6,4.5
2307,Rouen,339011.0,796895.5,539345.3,64.7,13102.0,19616.0,27068.0,13966.0,7190.0,11468.0,14558.0,17158.0,22178.0,25210.0,29358.0,36844.0,5.1,6.9,0.3,61.3,3.2,5.1,25.6,4.8
2401,Bourges,86869.0,192782.0,133696.9,63.6,13384.0,19416.0,26516.0,13132.0,7672.0,11850.0,14756.0,17146.0,21870.0,24758.0,28716.0,35710.0,4.7,6.3,0.3,56.3,2.6,6.0,30.1,5.0
2402,Saint-Amand-Montrond,17199.0,35876.5,25595.1,54.2,11568.0,17002.0,22930.0,11362.0,6476.0,10298.0,12726.0,14932.0,19074.0,21440.0,24800.0,30914.0,4.8,6.5,0.3,44.5,3.1,7.7,39.5,5.2
2403,Vierzon,20946.0,45891.0,32029.1,58.0,11990.0,17746.0,23920.0,11930.0,6115.0,10432.0,13376.0,15714.0,19940.0,22408.0,25684.0,31660.0,5.2,7.0,0.3,51.4,3.5,4.9,35.6,4.6
2404,Chartres,103061.0,247661.0,166267.8,69.4,14812.0,20862.0,28158.0,13346.0,9338.0,13340.0,16168.0,18568.0,23400.0,26360.0,30456.0,38054.0,4.1,5.4,0.3,60.8,2.7,6.6,24.6,5.3
2405,Châteaudun,16095.0,36205.5,24967.6,61.7,13156.0,18616.0,24836.0,11680.0,7856.0,11670.0,14406.0,16560.0,20872.0,23310.0,26820.0,33520.0,4.3,5.7,0.3,49.6,2.7,8.9,33.4,5.4
