Revenus fiscaux localisés des ménages - Année 2007,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2 000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFip Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,
,,,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),Intervalle inter-quartiles (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport inter-déciles,Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,NBUC07,RFUCQ107,RFUCQ207,RFUCQ307,RFUCIQ07,RFUCD107,RFUCD207,RFUCD307,RFUCD407,RFUCD607,RFUCD707,RFUCD807,RFUCD907,RFUCRD07,RFUCET07,RFUCMO07,RFUCGI07
2612,26,Dijon,234051.5,13274,19016,26065,12791,8268,11905,14522,16798,21420,24270,28278,35763,4.3,17399.68,21716.93,0.3250
2613,26,Auxerre,89992.2,11835,17221,23708,11873,7078,10489,13027,15125,19421,22023,25800,32655,4.6,19081.41,19785.26,0.3387
2615,26,Nevers,94318.7,11324,16571,22739,11415,6269,9928,12498,14613,18710,21213,24553,30390,4.8,16153.89,18469.14,0.3335
2641,26,Chalon-sur-Saône,104762.3,12010,17151,23430,11420,7446,10725,13088,15140,19278,21835,25299,31804,4.3,15023.43,19462.81,0.3243
2643,26,Châtillon-sur-Seine,14679.9,10815,15464,21281,10466,6879,9757,11803,13719,17493,19805,23184,29063,4.2,13334.91,17700.08,0.3256
2644,26,Sens,70131.8,11913,17272,23428,11515,7356,10610,13074,15259,19389,21886,25288,31516,4.3,16276.75,19371.61,0.3225
2651,26,Montbard,27352.8,11517,16035,21747,10230,7318,10347,12509,14229,17978,20361,23472,29188,4.0,14099.90,18017.62,0.3113
2652,26,Avallon,29919.5,10843,15802,21608,10765,6579,9614,11938,13895,17808,20143,23567,30017,4.6,16673.23,17975.19,0.3348
2654,26,Cosne-sur-Loire,33447.5,11048,15890,21820,10772,6633,9850,12133,14033,17964,20360,23547,29332,4.4,13458.42,17899.01,0.3254
2656,26,Autun,27335.3,10917,15728,21635,10718,6846,9760,11925,13819,17782,20183,23407,29651,4.3,13213.88,17801.61,0.3243
2660,26,Joigny,38589.3,11146,16309,22190,11044,6516,9871,12339,14429,18377,20765,23970,29928,4.6,13682.74,18133.43,0.3244
2662,26,Decize,23268.5,10599,15205,20667,10068,6409,9500,11631,13516,17174,19326,22198,27286,4.3,12880.49,16831.06,0.3170
2664,26,Le Creusot,34007.6,11013,16086,21829,10816,6630,9827,12133,14100,18083,20377,23578,29226,4.4,12596.30,17728.04,0.3175
2666,26,Beaune,63728.1,12264,17464,23929,11665,8020,11070,13398,15412,19676,22271,26010,33634,4.2,17853.88,20587.91,0.3378
2672,26,Montceau-les-Mines,37664.1,11059,15583,20952,9893,6702,9835,12145,13933,17466,19626,22532,27853,4.2,13888.64,17254.36,0.3120
2680,26,Digoin,58792.4,11306,15677,21173,9867,7370,10217,12236,13945,17487,19780,22881,28551,3.9,13345.68,17725.91,0.3105
2695,26,Louhans,36170.6,11002,15699,21049,10047,7531,9996,11979,13880,17513,19721,22645,27629,3.7,12087.21,17351.92,0.3012
3110,31,Roubaix-Tourcoing,268448.2,8933,15215,22067,13134,4016,7497,10322,12884,17616,20365,24137,31249,7.8,18472.73,17734.09,0.3969
3111,31,Lille,495326.8,10894,17494,25421,14527,5478,9246,12359,14984,20198,23432,27903,36148,6.6,20602.21,20550.99,0.3818
3112,31,Dunkerque,167931.8,10009,15513,21952,11943,5839,8757,11177,13344,17772,20431,23836,29894,5.1,14106.13,17610.02,0.3477
3113,31,Flandre-Lys,78016.0,11592,16637,22756,11164,7474,10406,12639,14690,18786,21202,24672,30699,4.1,15186.61,18861.13,0.3187
3114,31,Douaisis,159678.0,9442,14890,21450,12008,5028,8186,10631,12798,17188,19833,23367,29460,5.9,15055.50,17007.07,0.3606
3115,31,Valenciennois,225813.1,8442,13868,20370,11928,4027,7235,9587,11815,16151,18805,22213,28064,7.0,16637.64,16034.51,0.3804
3116,31,Cambresis,117156.6,9833,15057,21201,11368,5573,8607,11005,13064,17157,19662,23081,29079,5.2,15220.32,17260.74,0.3551
3117,31,Sambre-Avesnois,152999.4,8178,13723,20244,12066,3365,6967,9393,11605,15984,18665,22227,28122,8.4,14171.17,15740.60,0.3863
3121,31,Artois-Ternois,154860.3,10906,16490,23151,12245,6537,9631,12103,14308,18821,21532,25127,31880,4.9,19605.01,19044.12,0.3499
3122,31,Lens-Hénin,238149.1,7932,13159,18911,10979,3741,6850,9017,11115,15170,17529,20533,25549,6.8,12286.75,14644.07,0.3653
3123,31,Béthune-Bruay,190495.5,9665,14840,21045,11380,5400,8470,10791,12853,17001,19529,22800,28603,5.3,15157.72,16837.77,0.3497
3124,31,Saint-Omer,75296.9,9649,14687,20611,10962,5663,8483,10685,12691,16754,19156,22313,28048,5.0,19353.93,16832.78,0.3527
3125,31,Calaisis,106012.3,9127,14495,20763,11636,4630,7891,10290,12385,16698,19240,22545,28222,6.1,13504.95,16339.22,0.3618
3126,31,Boulonnais,107027.6,9176,14576,20951,11775,4812,7986,10331,12479,16762,19381,22903,29316,6.1,21465.74,17072.40,0.3797
3127,31,Berck-Montreuil,69773.6,10120,15273,21792,11672,5969,8949,11208,13229,17483,20223,23780,30753,5.2,19666.15,18162.28,0.3680
4111,41,Longwy,55516.1,10416,15871,22911,12495,4475,8930,11657,13736,18322,21172,24918,31312,7.0,14180.63,17796.18,0.3581
4112,41,Briey,51365.1,11220,15917,22054,10834,6779,10066,12178,13999,18065,20610,23791,28943,4.3,12602.29,17620.80,0.3152
4113,41,Thionville,214217.8,11118,16579,23447,12329,5989,9776,12311,14425,18984,21729,25476,32037,5.3,16443.59,18740.95,0.3462
4121,41,Lunéville,52295.3,10890,15950,21611,10721,6462,9636,12061,14047,17928,20198,23256,28674,4.4,13424.48,17530.28,0.3203
4122,41,Nancy,267582.7,12149,18254,25619,13470,6629,10610,13470,15907,20744,23758,27888,35498,5.4,19634.13,20935.81,0.3528
4123,41,Toul,43353.5,11943,17319,23389,11446,7623,10672,13080,15146,19518,21917,25128,31160,4.1,13434.91,19078.09,0.3081
4130,41,Metz,177636.3,11748,18219,26031,14283,6307,10177,13158,15706,20918,24062,28465,36454,5.8,20166.15,21250.39,0.3685
4141,41,Bassin-Houiller,175733.9,10684,15811,22080,11396,6255,9397,11833,13897,18035,20580,23895,29883,4.8,13893.80,17829.27,0.3314
4142,41,Sarreguemines,56210.3,12096,17127,23698,11602,7691,10919,13146,15061,19347,22085,25593,31928,4.2,16074.71,19584.95,0.3232
4150,41,Sarrebourg,56695.2,11882,16706,22246,10364,7769,10693,12863,14782,18666,20887,23868,29237,3.8,17749.34,18503.75,0.3036
